                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.9849,                0.88295,                 1.1093,                0.75004,                0.63965,                0.71617,                 0.5083,                 1.0842,                0.95253,                 1.1421,               0.004258,               0.004258,               0.004258
                     60,                0.97356,                0.87676,                 1.1051,                0.75378,                0.63508,                0.71608,                0.50859,                  1.083,                0.95323,                 1.1407,               0.004159,               0.004159,               0.004159
                     61,                0.97303,                0.87229,                 1.1047,                0.74793,                0.63837,                0.71568,                0.50926,                 1.0809,                0.95297,                 1.1401,                0.00406,                0.00406,                0.00406
                     62,                0.96845,                0.86778,                 1.1037,                0.75073,                0.63565,                0.71497,                0.50871,                 1.0806,                0.95395,                 1.1399,               0.003961,               0.003961,               0.003961
                     63,                0.96076,                0.85411,                  1.099,                 0.7538,                0.63093,                0.71489,                0.50891,                 1.0797,                0.95432,                 1.1394,               0.003862,               0.003862,               0.003862
                     64,                0.96465,                0.85379,                  1.099,                0.74762,                0.63747,                0.71608,                0.51025,                 1.0784,                 0.9532,                 1.1383,               0.003763,               0.003763,               0.003763
                     65,                0.95819,                0.84735,                 1.0995,                0.75168,                0.63446,                0.71512,                0.51003,                 1.0775,                0.95214,                  1.138,               0.003664,               0.003664,               0.003664
                     66,                0.96044,                 0.8434,                 1.0972,                0.74675,                0.63864,                0.71632,                0.51019,                 1.0775,                0.95122,                 1.1376,               0.003565,               0.003565,               0.003565
                     67,                0.95054,                 0.8355,                 1.0941,                0.74289,                0.64193,                0.71681,                0.51014,                 1.0762,                0.95006,                 1.1368,               0.003466,               0.003466,               0.003466
                     68,                0.94711,                0.82665,                 1.0926,                0.74969,                0.63838,                0.71619,                0.51042,                 1.0762,                0.95017,                 1.1368,               0.003367,               0.003367,               0.003367
                     69,                  0.947,                0.83035,                  1.089,                0.74953,                0.64058,                0.71567,                0.51046,                  1.076,                0.94864,                 1.1368,               0.003268,               0.003268,               0.003268
